RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005,RDTech DPS3005
"","","","","","","","","","","",""
I,I,P,P,V,V,R,R,Wh,Wh,Ah,Ah
Time I [A DC],I [A DC],Time P [W],P [W],Time V [V DC],V [V DC],Time R [Ω],R [Ω],Time Wh [Wh],Wh [Wh],Time Ah [Ah],Ah [Ah]
91.4330,0,91.4330,0,91.4330,9.99,91.4330,1.79769e+308,91.4330,0,91.4330,0
91.8220,0,91.8220,0,91.8220,9.99,91.8220,1.79769e+308,91.8220,0,91.8220,0
92.2120,0,92.2120,0,92.2120,9.99,92.2120,1.79769e+308,92.2120,0,92.2120,0
92.6010,0,92.6010,0,92.6010,9.99,92.6010,1.79769e+308,92.6010,0,92.6010,0
92.9900,0,92.9900,0,92.9900,9.99,92.9900,1.79769e+308,92.9900,0,92.9900,0
93.3790,0,93.3790,0,93.3790,9.99,93.3790,1.79769e+308,93.3790,0,93.3790,0
93.7680,0,93.7680,0,93.7680,9.99,93.7680,1.79769e+308,93.7680,0,93.7680,0
94.1570,0,94.1570,0,94.1570,9.99,94.1570,1.79769e+308,94.1570,0,94.1570,0
94.5470,0,94.5470,0,94.5470,9.99,94.5470,1.79769e+308,94.5470,0,94.5470,0
95.3100,0,95.3100,0,95.3100,9.91,95.3100,1.79769e+308,95.3100,0,95.3100,0
95.6990,0,95.6990,0,95.6990,7.11,95.6990,1.79769e+308,95.6990,0,95.6990,0
96.0880,0,96.0880,0,96.0880,4.35,96.0880,1.79769e+308,96.0880,0,96.0880,0
96.4770,0,96.4770,0,96.4770,1.63,96.4770,1.79769e+308,96.4770,0,96.4770,0
96.8660,0,96.8660,0,96.8660,0,96.8660,-1.79769e+308,96.8660,0,96.8660,0
97.2560,0,97.2560,0,97.2560,0,97.2560,-1.79769e+308,97.2560,0,97.2560,0
97.6450,0,97.6450,0,97.6450,0,97.6450,-1.79769e+308,97.6450,0,97.6450,0
98.0330,0,98.0330,0,98.0330,0,98.0330,-1.79769e+308,98.0330,0,98.0330,0
98.4220,0,98.4220,0,98.4220,0,98.4220,-1.79769e+308,98.4220,0,98.4220,0
98.8120,0,98.8120,0,98.8120,0,98.8120,-1.79769e+308,98.8120,0,98.8120,0
99.2010,0,99.2010,0,99.2010,0,99.2010,-1.79769e+308,99.2010,0,99.2010,0
99.5900,0,99.5900,0,99.5900,0,99.5900,-1.79769e+308,99.5900,0,99.5900,0
99.9790,0,99.9790,0,99.9790,0,99.9790,-1.79769e+308,99.9790,0,99.9790,0
100.3680,0,100.3680,0,100.3680,0,100.3680,-1.79769e+308,100.3680,0,100.3680,0
100.7570,0,100.7570,0,100.7570,0,100.7570,-1.79769e+308,100.7570,0,100.7570,0
101.1470,0,101.1470,0,101.1470,0,101.1470,-1.79769e+308,101.1470,0,101.1470,0
101.5360,0,101.5360,0,101.5360,0,101.5360,-1.79769e+308,101.5360,0,101.5360,0
101.9250,0,101.9250,0,101.9250,0,101.9250,-1.79769e+308,101.9250,0,101.9250,0
102.3140,0,102.3140,0,102.3140,0,102.3140,-1.79769e+308,102.3140,0,102.3140,0
102.7030,0,102.7030,0,102.7030,0,102.7030,-1.79769e+308,102.7030,0,102.7030,0
103.0920,0,103.0920,0,103.0920,0,103.0920,-1.79769e+308,103.0920,0,103.0920,0
103.4810,0,103.4810,0,103.4810,0,103.4810,-1.79769e+308,103.4810,0,103.4810,0
103.8700,0,103.8700,0,103.8700,0,103.8700,-1.79769e+308,103.8700,0,103.8700,0
104.2590,0,104.2590,0,104.2590,0,104.2590,-1.79769e+308,104.2590,0,104.2590,0
104.6480,0,104.6480,0,104.6480,0,104.6480,-1.79769e+308,104.6480,0,104.6480,0
105.0370,0,105.0370,0,105.0370,0,105.0370,-1.79769e+308,105.0370,0,105.0370,0
105.4270,0,105.4270,0,105.4270,0,105.4270,-1.79769e+308,105.4270,0,105.4270,0
105.8160,0,105.8160,0,105.8160,0,105.8160,-1.79769e+308,105.8160,0,105.8160,0
106.2050,0,106.2050,0,106.2050,0,106.2050,-1.79769e+308,106.2050,0,106.2050,0
106.5940,0,106.5940,0,106.5940,0,106.5940,-1.79769e+308,106.5940,0,106.5940,0
106.9830,0,106.9830,0,106.9830,0,106.9830,-1.79769e+308,106.9830,0,106.9830,0
107.3720,0,107.3720,0,107.3720,0,107.3720,-1.79769e+308,107.3720,0,107.3720,0
107.7610,0,107.7610,0,107.7610,0,107.7610,-1.79769e+308,107.7610,0,107.7610,0
108.1500,0,108.1500,0,108.1500,0,108.1500,-1.79769e+308,108.1500,0,108.1500,0
108.5400,0,108.5400,0,108.5400,0,108.5400,-1.79769e+308,108.5400,0,108.5400,0
108.9280,0,108.9280,0,108.9280,0,108.9280,-1.79769e+308,108.9280,0,108.9280,0
109.3180,0,109.3180,0,109.3180,0,109.3180,-1.79769e+308,109.3180,0,109.3180,0
109.7070,0,109.7070,0,109.7070,0,109.7070,-1.79769e+308,109.7070,0,109.7070,0
110.0960,0,110.0960,0,110.0960,0,110.0960,-1.79769e+308,110.0960,0,110.0960,0
110.4850,0,110.4850,0,110.4850,0,110.4850,-1.79769e+308,110.4850,0,110.4850,0
110.8740,0,110.8740,0,110.8740,0,110.8740,-1.79769e+308,110.8740,0,110.8740,0
111.2630,0,111.2630,0,111.2630,0,111.2630,-1.79769e+308,111.2630,0,111.2630,0
111.6520,0,111.6520,0,111.6520,0,111.6520,-1.79769e+308,111.6520,0,111.6520,0
112.0420,0,112.0420,0,112.0420,0,112.0420,-1.79769e+308,112.0420,0,112.0420,0
112.4310,0,112.4310,0,112.4310,0,112.4310,-1.79769e+308,112.4310,0,112.4310,0
